county_fips,total_population,adult_pop_45plus
21049,37304,16831
21051,19648,8545
21053,9148,4393
21055,8974,4290
21057,6000,2988
21059,103458,43674
21061,12448,6293
21063,7245,3504
21065,13936,6721
21067,320154,121040
21069,15442,6962
21071,34423,16141
21073,51644,23258
21075,6338,2802
21077,8792,3820
21079,17829,8510
21081,25619,10369
21083,36461,16259
21085,26825,12052
21087,11468,5679
21089,35221,17260
21091,8920,4100
21093,112273,44872
21095,25324,11541
21097,19415,8868
21099,19724,8871
21101,44119,19997
21103,15973,7260
21105,4447,2381
21107,44929,20241
21109,13104,5979
21111,772144,323931
21113,55017,23109
21115,22116,10332
21117,171321,69854
21119,13659,6637
21121,29794,12865
21123,15303,6828
21125,63296,27733
21127,16000,7344
21129,7293,3459
21131,9864,4728
21133,20423,9939
21135,12973,6111
21137,24776,11062
21139,8892,4566
21141,28283,12431
21143,9187,4801
21145,67428,31037
21147,17050,7113
21149,9054,4217
21151,96735,36927
21153,11228,5347
21155,19834,8702
21157,31744,16011
21159,10928,4718
21161,16841,7776
21163,30131,13018
21165,6286,3269
21167,23097,10901
21169,10482,4880
21171,11306,5157
21173,28527,12465
21175,14283,6385
21177,30568,14360
21179,47730,21005
21181,7686,3375
21183,23626,10556
21185,70183,30023
21187,11313,5505
21189,4001,1876
21191,14810,6881
21193,27133,12239
21195,55973,26973
21197,12972,5555
21199,66191,31194
21201,2313,1172
21203,16190,7790
21205,24409,8830
21207,18279,8729
21209,60168,23167
21211,49515,22060
21213,20195,8680
21215,20531,9498
21217,26443,11047
21219,12494,5164
21221,14369,7359
21223,8607,4066
21225,13106,6227
21227,142229,50568
21229,12267,5626
21231,19580,9676
21233,12726,5650
21235,36825,14347
21237,6282,2992
21239,27268,13083
22001,56489,23158
22003,22112,8683
22005,131632,50180
22007,20160,9655
22009,38408,16237
22011,36827,14870
22013,12366,5849
22015,129795,50238
22017,226386,98229
22019,203761,82155
22021,9389,4097
22023,4768,2194
22025,8414,3680
22027,13670,6533
22029,17688,7680
22031,27114,11970
22033,448467,165948
22035,6829,2668
22037,19229,9391
22039,31754,12731
22041,19285,8405
22043,21911,8693
22045,67659,28303
22047,29617,12728
22049,14746,6935
22051,421777,186829
22053,31553,13200
22055,249750,96745
22057,95056,40557
22059,14800,5713
22061,47962,15715
22063,150145,57025
22065,9246,3872
22067,23955,10788
22069,36291,13896
22071,364136,152817
22073,157568,62795
